ESCs	IVD.D11	IVD.D13	DIOL.D5	DIOL.D15	DIOL.D25	DIOL+S.D5	DIOL+S.D14	A_count	T_count	G_count	C_count	Geneid
0.233333333333333	0.143333333333333	26.1333333333333	30.08	133.6	399.335	15.08	331.525	30	25	29	16	Oog3
70.1666666666667	74.73	27.3766666666667	18.705	27.19	25.255	31.91	8.565	19	20	27	34	Mdn1
34.48	58.7966666666667	32.2966666666667	29.76	22.96	31.935	36.16	31.97	12	8	43	37	Dnajc3
11.8366666666667	102.59	130.083333333333	196.745	89.715	95.965	144.335	136.215	6	20	51	23	Rnaset2a
0.163333333333333	9.69	86.5866666666667	4.51	79.155	234.47	4.705	42.685	30	24	26	20	7420461P10Rik
0.213333333333333	32.5966666666667	8.26333333333333	1.105	4.205	2.13	5.465	0	28	11	30	31	Ccdc152
0	0.05	0	0.07	0.015	0	0	0	21	32	36	11	Cphx2
248.64	34.0066666666667	5.61	44.12	5.73	1.71	53.995	4.22	24	20	31	25	Snhg12
3.73666666666667	60.2566666666667	43.1166666666667	30.155	32.06	20.965	15.245	33.6	16	21	40	23	Rbakdn
0.0533333333333333	0.843333333333333	15.2966666666667	18.835	22.8	73.425	12.72	71.27	22	33	24	21	AU016765
0.286666666666667	15.5866666666667	84.6566666666667	89.745	47.055	52.525	36.49	87.595	23	21	25	31	R3hdml
60.9433333333333	45.65	30.8533333333333	64.115	21.885	29.05	50.96	31.015	24	27	28	21	Kti12
246.79	66.2066666666667	43.4233333333333	37.265	39.25	38.105	26.205	21.735	19	19	32	30	Rcc1
0.87	83.0333333333333	39.7766666666667	53.78	39.27	42.005	56.87	26.9	21	31	34	14	Tdrd7
21.3966666666667	54.77	8.17	60.66	16.145	5.38	72.685	4.865	17	15	35	33	Zmym6
80.4433333333333	66.8366666666667	73.99	80.425	63.975	61.635	46.83	50.57	18	21	35	26	Gpn2
70.09	199.58	69.16	118.815	62.415	71.44	131.005	55.545	12	13	38	37	Stx12
0.993333333333333	14.3533333333333	0.313333333333333	1.395	0.615	0.19	12.215	0.255	20	14	34	32	Btbd18
46.5966666666667	87.4066666666667	94.28	100.83	94.61	112.475	100.645	73.305	13	12	30	45	Osbpl9
61.76	3.37666666666667	0	0	0	0.17	0.745	0	20	25	29	26	D7Ertd143e
7.08	53.38	17.0833333333333	22.845	12.16	24.5	40.23	14.745	16	19	32	33	AU040320
127.52	137.76	65.96	107.615	50.18	31.07	106.06	29.55	11	17	31	41	Ppp1r8
5.71333333333333	20.4433333333333	92.4866666666667	17.15	98.54	254.185	16.13	182.01	17	17	38	28	Fam46b
21.2	31.8633333333333	54.4566666666667	37.5	40.645	46.39	30.705	37.915	16	28	39	17	Zfand2a
